ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
NOR;95,18;1;96,54;1;92,46;1;94,92;1;95,98;1;95,98;3;UE Balkans;Norvège;Norway;Noruega;Noruega ;النرويج;نروژ;2023;1;0;92,65;2,53
IRL;89,91;2;93,91;2;82,11;7;82,55;19;94,03;3;96,94;2;UE Balkans;Irlande;Ireland;Irlanda;Irlanda ;أيرلندا;ایرلند;2023;6;4;88,3;1,61
DNK;89,48;3;91,95;4;85,17;4;87,5;5;87,78;17;95;5;UE Balkans;Danemark;Denmark;Dinamarca;Dinamarca ;الدنمارك;دانمارک;2023;2;-1;90,27;-0,79
SWE;88,15;4;92,58;3;86,08;3;88,74;4;88,64;14;84,72;40;UE Balkans;Suède;Sweden;Suecia;Suécia ;السويد;سوئد;2023;3;-1;88,84;-0,69
FIN;87,94;5;91,55;5;83,8;5;84,86;11;89,17;13;90,35;23;UE Balkans;Finlande;Finland;Finlandia;Finlândia ;فنلندا;فنلاند;2023;5;0;88,42;-0,48
NLD;87;6;88,93;7;89,08;2;90,3;3;86,53;24;80,18;67;UE Balkans;Pays-Bas;Netherlands;Países Bajos;Países Baixos ;هولندا;هلند;2023;28;22;77,93;9,07
LTU;86,79;7;88;9;77,65;8;84,53;12;89,43;12;94,33;8;UE Balkans;Lituanie;Lithuania;Lituania;Lituânia ;ليتوانيا;لیتوانی;2023;9;2;84,14;2,65
EST;85,31;8;85,36;17;76,75;10;82,88;18;90,75;9;90,79;20;UE Balkans;Estonie;Estonia;Estonia;Estônia ;إستونيا;استونی;2023;4;-4;88,83;-3,52
PRT;84,6;9;86,32;13;71,02;20;84,38;13;89,77;11;91,48;16;UE Balkans;Portugal;Portugal;Portugal;Portugal ;البرتغال;پرتغال;2023;7;-2;87,07;-2,47
TLS;84,49;10;81,88;20;74,51;13;83,02;15;87,12;20;95,93;4;Asie-Pacifique;Timor oriental;East Timor;Timor Oriental;Timor Leste ;تيمور الشرقية;تیمور شرقی;2023;17;7;81,89;2,6
LIE;84,47;11;85,63;16;69,93;23;81,45;24;90,91;7;94,44;6;UE Balkans;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein ;ليختنشتاين;لیختن‌اشتاین;2023;10;-1;84,03;0,44
CHE;84,4;12;87,42;10;72,79;15;77,95;37;92,33;4;91,52;15;UE Balkans;Suisse;Switzerland;Suiza;Suíça ;سويسرا;سويیس;2023;14;2;82,72;1,68
NZL;84,23;13;89,69;6;77,45;9;78,62;35;84,09;30;91,3;17;Asie-Pacifique;Nouvelle-Zélande;New Zealand;Nueva Zelanda;Nova Zelândia ;نيوزيلاندا;زلاند نو;2023;11;-2;83,54;0,69
CZE;83,58;14;82,19;19;65,52;28;86,64;6;91,29;6;92,27;11;UE Balkans;Tchéquie;Czechia;Chequia;Chéquia;التشيك; چک;2023;20;6;80,54;3,04
