ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Situation;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
NOR;91,89;1;94,87;1;89,84;1;89,5;2;90,48;1;94,74;7;Bonne situation;UE Balkans;Norvège;Norway;Noruega;Noruega ;النرويج;نروژ;2024;1;0;95,18;-3,29
DNK;89,6;2;94,11;2;83,07;4;88,82;3;86,9;5;95,09;5;Bonne situation;UE Balkans;Danemark;Denmark;Dinamarca;Dinamarca ;الدنمارك;دانمارک;2024;3;1;89,48;0,12
SWE;88,32;3;91,03;4;85,5;2;90,16;1;82,78;20;92,12;22;Bonne situation;UE Balkans;Suède;Sweden;Suecia;Suécia ;السويد;سوئد;2024;4;1;88,15;0,17
NLD;87,73;4;88,41;7;84,09;3;87,59;4;87,34;4;91,23;28;Bonne situation;UE Balkans;Pays-Bas;Netherlands;Países Bajos;Países Baixos ;هولندا;هلند;2024;6;2;87;0,73
FIN;86,55;5;89,05;6;80,9;5;86,16;6;84,52;14;92,13;21;Bonne situation;UE Balkans;Finlande;Finland;Finlandia;Finlândia ;فنلندا;فنلاند;2024;5;0;87,94;-1,39
EST;86,44;6;86,88;10;76,77;8;83,65;12;90;2;94,88;6;Bonne situation;UE Balkans;Estonie;Estonia;Estonia;Estônia ;إستونيا;استونی;2024;8;2;85,31;1,13
PRT;85,9;7;91,51;3;72,92;10;83,79;10;88,27;3;93,03;15;Bonne situation;UE Balkans;Portugal;Portugal;Portugal;Portugal ;البرتغال;پرتغال;2024;9;2;84,6;1,3
IRL;85,59;8;89,86;5;77;7;80,45;18;86,61;6;94,05;9;Bonne situation;UE Balkans;Irlande;Ireland;Irlanda;Irlanda ;أيرلندا;ایرلند;2024;2;-6;89,91;-4,32
CHE;84,01;9;87,78;8;72,32;11;78,85;27;85,2;11;95,92;4;Situation plutôt bonne;UE Balkans;Suisse;Switzerland;Suiza;Suíça ;سويسرا;سويیس;2024;12;3;84,4;-0,39
DEU;83,84;10;85,22;14;77,63;6;84,69;8;82,38;22;89,29;40;Situation plutôt bonne;UE Balkans;Allemagne;Germany;Alemania;Alemanha ;ألمانيا;آلمان;2024;21;11;81,91;1,93
LUX;83,8;11;87,74;9;71,53;13;77,56;34;85,32;10;96,83;1;Situation plutôt bonne;UE Balkans;Luxembourg;Luxembourg;Luxemburgo;Luxemburgo ;لوكسمبورغ;لوکزامبورگ;2024;20;9;81,98;1,82
LVA;82,9;12;84,42;15;74,69;9;80,29;19;83,21;17;91,9;26;Situation plutôt bonne;UE Balkans;Lettonie;Latvia;Letonia;Letônia ;لاتفيا;لتوانی;2024;16;4;83,27;-0,37
LTU;81,73;13;80,84;17;70,72;15;81,41;15;83,6;15;92,1;23;Situation plutôt bonne;UE Balkans;Lituanie;Lithuania;Lituania;Lituânia ;ليتوانيا;لیتوانی;2024;7;-6;86,79;-5,06
CAN;81,7;14;86,23;11;66,35;21;83,75;11;82,38;22;89,76;36;Situation plutôt bonne;Amériques;Canada;Canada;Canadá;Canadá ;كندا;کانادا;2024;15;1;83,53;-1,83
LIE;81,52;15;85,55;12;62,35;31;84,84;7;78,72;32;96,16;2;Situation plutôt bonne;UE Balkans;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein ;ليختنشتاين;لیختن‌اشتاین;2024;11;-4;84,47;-2,95
BEL;81,49;16;81,96;16;71,41;14;79,49;24;86,51;7;88,1;52;Situation plutôt bonne;UE Balkans;Belgique;Belgium;Bélgica;Bélgica ;بلجيكا;بلژیک;2024;31;15;76,47;5,02
CZE;80,14;17;80,21;18;62,58;30;80,18;21;85,16;12;92,58;19;Situation plutôt bonne;UE Balkans;Tchéquie;Czechia;Chequia;Chéquia;التشيك; چک;2024;14;-3;83,58;-3,44
ISL;80,13;18;79,94;20;65,1;24;79,11;25;83,28;16;93,24;12;Situation plutôt bonne;UE Balkans;Islande;Iceland;Islandia;Islândia ;أيسلندا;ایسلند;2024;18;0;83,19;-3,06
NZL;79,72;19;85,36;13;72,08;12;71,15;54;79,76;29;90,24;32;Situation plutôt bonne;Asie-Pacifique;Nouvelle-Zélande;New Zealand;Nueva Zelanda;Nova Zelândia ;نيوزيلاندا;زلاند نو;2024;13;-6;84,23;-4,51
